"","Month.Number","Year","Month","Cotagecheese.Prod","Icecream.Prod","Milk.Prod","N.CA.Fat.Price","Month.Count","Time"
"94",10,2002,"Oct",1.02532449289828,6.0846998485675,7.98786409608569,6.92775396548883,93,2002-10-01
"95",11,2002,"Nov",1.04168914126849,5.87309899807362,7.94590959861313,6.98212036093744,94,2002-11-01
"96",12,2002,"Dec",0.941958478622733,5.86917684942924,7.98989937494294,7.0095895848634,95,2002-12-01
"97",1,2003,"Jan",0.929799081898947,5.97904651147437,8.0040315078527,7.10373316222358,96,2003-01-01
"98",2,2003,"Feb",0.896904018073965,6.08001099527274,7.92804560087478,7.11411883025633,97,2003-02-01
"99",3,2003,"Mar",1.07021281414641,6.23305195987677,8.04237800517328,7.0496887748708,98,2003-03-01
"100",4,2003,"Apr",0.974559639998131,6.27240519714841,8.01730750768858,7.06407503323709,99,2003-04-01
"101",5,2003,"May",1.03247248616356,6.26224331017649,8.03657340970731,7.0841425962879,100,2003-05-01
"102",6,2003,"Jun",1.03780014927135,6.36102264567759,7.99699040583765,7.08145645348248,101,2003-06-01
"103",7,2003,"Jul",1.10624971579732,6.33513226263951,7.99496952269788,7.09440080725615,102,2003-07-01
"104",8,2003,"Aug",1.04661699354973,6.21741116615456,7.99665387546261,7.13337576017124,103,2003-08-01
"105",9,2003,"Sep",1.07226831332851,6.16069875357767,7.9483852851119,7.20392621882982,104,2003-09-01
"106",10,2003,"Oct",1.05570478765683,6.04485008871904,7.97968130238774,7.13703993505311,105,2003-10-01
"107",11,2003,"Nov",0.965080896043587,5.81272357237239,7.944846711002,7.17273151389828,106,2003-11-01
"108",12,2003,"Dec",1.01956908132766,5.88825726712899,7.99057688174392,7.1828838853623,107,2003-12-01
"109",1,2004,"Jan",0.959733289716992,5.97461081753582,8.00436556497957,7.23612333670533,108,2004-01-01
"110",2,2004,"Feb",0.929404371019538,6.04321579911693,7.95787735848981,7.31342036709297,109,2004-02-01
"111",3,2004,"Mar",1.15152094432351,6.21750190731546,8.04044688130311,7.47901727155196,110,2004-03-01
"112",4,2004,"Apr",1.07158361628019,6.22708691313247,8.03008409426756,7.74638712628406,111,2004-04-01
"113",5,2004,"May",1.01305440030646,6.22067267166657,8.05452260953729,7.77850456388591,112,2004-05-01
"114",6,2004,"Jun",1.13269160232097,6.37684258747062,8.0149968943483,7.80811986030603,113,2004-06-01
"115",7,2004,"Jul",1.08180517035173,6.33943294886762,8.03203531439882,7.65761355112612,114,2004-07-01
"116",8,2004,"Aug",1.09627622887056,6.28131021479865,8.03138533062553,7.66598770619802,115,2004-08-01
"117",9,2004,"Sep",1.05570478765683,6.15650535649185,7.99934295271328,7.49158969960138,116,2004-09-01
"118",10,2004,"Oct",1.07908962217925,6.00395620051924,8.03268487596762,7.55940315236405,117,2004-10-01
"119",11,2004,"Nov",1.00576573830176,5.95064385467021,7.99294454731811,7.58665139377222,118,2004-11-01
"120",12,2004,"Dec",0.911077164821268,5.91264047160055,8.03592636989179,7.55480616364911,119,2004-12-01
"121",1,2005,"Jan",1.03709143201986,5.98573692555526,8.03203531439882,7.71275684431622,120,2005-01-01
"122",2,2005,"Feb",1.02711628696304,6.13214128831837,7.95437227253187,7.47686867861863,121,2005-02-01
"123",3,2005,"Mar",1.08923512685551,6.29246040892642,8.07899825868515,7.49942329059223,122,2005-03-01
"124",4,2005,"Apr",0.996210355050029,6.25593908338483,8.06714903991011,7.45662785038503,123,2005-04-01
"125",5,2005,"May",1.08180517035173,6.30383252481057,8.09925056179696,7.46891273507913,124,2005-05-01
"126",6,2005,"Jun",1.11054085953338,6.35122771756261,8.06526520889773,7.3419374111878,125,2005-06-01
"127",7,2005,"Jul",0.977950112260883,6.29898141545617,8.04750951098142,7.38100363839276,126,2005-07-01
"128",8,2005,"Aug",1.09661028599744,6.25768387127497,8.05737748855799,7.55018794499758,127,2005-08-01
"129",9,2005,"Sep",1.00978107496149,6.10287509933051,8.03398273468322,7.52860054778668,128,2005-09-01
"130",10,2005,"Oct",1.02424787337925,6.12925716032242,8.05547514175727,7.56252539042108,129,2005-10-01
"131",11,2005,"Nov",0.956664626012428,5.91884546600568,8.02387999273488,7.5309627113374,130,2005-11-01
"132",12,2005,"Dec",0.887891257352457,5.85752164125207,8.0643219609108,7.42666811293075,131,2005-12-01
"133",1,2006,"Jan",0.944294928283752,6.08425564760369,8.08363720314155,7.34064098266629,132,2006-01-01
"134",2,2006,"Feb",0.917090412044719,6.08668154075243,8.02027047281924,7.33836818062295,133,2006-02-01
"135",3,2006,"Mar",0.977573960291054,6.21833115922232,8.13973227971767,7.22511750553533,134,2006-03-01
"136",4,2006,"Apr",0.938052223655668,6.23611026108179,8.10440130792161,7.16711503442933,135,2006-04-01
"137",5,2006,"May",1.10658045831729,6.26137526533087,8.12651816878071,7.15030922381617,136,2006-05-01
"138",6,2006,"Jun",0.941958478622733,6.31201516912243,8.0727793331695,7.17011954344963,137,2006-06-01
"139",7,2006,"Jul",1.0821440959608,6.28039771161762,8.04622910107538,7.1649523704212,138,2006-07-01
"140",8,2006,"Aug",1.04239460866988,6.25324113892973,8.09925056179696,7.14417037248959,139,2006-08-01
"141",9,2006,"Sep",0.921477258561455,6.12400482373927,8.05420489706441,7.23511469108668,140,2006-09-01
"142",10,2006,"Oct",1.02137120832466,6.08690312775947,8.07930819205196,7.31521838975297,141,2006-10-01
"143",11,2006,"Nov",0.908661704709664,5.95299395254539,8.0507033814703,7.2839288824549,142,2006-11-01
"144",12,2006,"Dec",0.814036497835399,5.87165289269526,8.10076824307173,7.26094415363604,143,2006-12-01
"145",1,2007,"Jan",0.977573960291054,6.12299378049869,8.12237124340655,7.23806571348954,144,2007-01-01
"146",2,2007,"Feb",0.842859453788272,6.1161459563999,8.05515773181968,7.17027337777037,145,2007-02-01
"147",3,2007,"Mar",0.944683806375373,6.2032589396653,8.17554759602103,7.20132001459207,146,2007-03-01
"148",4,2007,"Apr",0.953586516617852,6.26515196205666,8.14583961293684,7.25290405108225,147,2007-04-01
"149",5,2007,"May",1.00905221195547,6.23203044411406,8.15392513200786,7.28797095283685,148,2007-05-01
"150",6,2007,"Jun",0.903408106043141,6.27021875955507,8.11402544235676,7.3661290427457,149,2007-06-01
"151",7,2007,"Jul",1.05813745610239,6.29801314708653,8.14612951002541,7.44137903902411,150,2007-07-01
"152",8,2007,"Aug",0.99694863489161,6.23435288090814,8.14786712992395,7.39903104350341,151,2007-08-01
"153",9,2007,"Sep",0.974182210289933,6.12669122068138,8.0870254706677,7.41457288135059,152,2007-09-01
"154",10,2007,"Oct",1.03709143201986,6.13729499531952,8.13593277200489,7.35781127041818,153,2007-10-01
"155",11,2007,"Nov",0.800655388275231,5.9303986560716,8.10530751550515,7.27066077267151,154,2007-11-01
"156",12,2007,"Dec",0.891588119233783,5.8684052728028,8.14873480893717,7.27862894232068,155,2007-12-01
"157",1,2008,"Jan",0.971157633314995,6.10602461680708,8.15822991695949,7.28926916626779,156,2008-01-01
"158",2,2008,"Feb",0.907048150507222,6.11982587922214,8.11072758297449,7.20429797986611,157,2008-02-01
"159",3,2008,"Mar",0.916290731874155,6.18843659280842,8.19918935907807,7.18931867042574,158,2008-03-01
"160",4,2008,"Apr",0.954741918248408,6.26610317245086,8.16479480424477,7.2405063148015,159,2008-04-01
"161",5,2008,"May",0.963937385341508,6.25641296976074,8.18395571730495,7.31315371820131,160,2008-05-01
"162",6,2008,"Jun",0.971157633314995,6.30915707949735,8.13651825211529,7.37111186550608,161,2008-06-01
"163",7,2008,"Jul",1.02747426083477,6.29759446926496,8.13651825211529,7.40049839519736,162,2008-07-01
"164",8,2008,"Aug",0.93883469630905,6.21058200457219,8.13064796816058,7.44342960071752,163,2008-08-01
"165",9,2008,"Sep",1.00063188030791,6.15830860971806,8.09407314806935,7.48301941888537,164,2008-09-01
"166",10,2008,"Oct",1.03175998168027,6.11089622300989,8.12740456269308,7.51185264270857,165,2008-10-01
"167",11,2008,"Nov",0.879211723632734,5.94171742520052,8.10530751550515,7.56744908328286,166,2008-11-01
"168",12,2008,"Dec",0.925448669658921,5.87831684542246,8.14351740579748,7.53545686046701,167,2008-12-01
"169",1,2009,"Jan",0.932951172767262,5.96817800803277,8.14699869738999,7.24057800709819,168,2009-01-01
"170",2,2009,"Feb",0.921079248605952,6.03700897337392,8.05165955684195,7.08606881437855,169,2009-02-01
"171",3,2009,"Mar",1.11317243999944,6.23617387633675,8.16194579946869,7.05893010677925,170,2009-03-01
"172",4,2009,"Apr",0.973049065692764,6.21604905973859,8.14118979345769,7.11761093596941,171,2009-04-01
"173",5,2009,"May",0.950112280349666,6.18229252978957,8.16394095475501,7.14409142408233,172,2009-05-01
"174",6,2009,"Jun",1.00539990694593,6.3194643869789,8.09651291750159,7.18523548894932,173,2009-06-01
"175",7,2009,"Jul",1.03354029192439,6.22963857277426,8.0861025356691,7.20652564841934,174,2009-07-01
"176",8,2009,"Aug",1.02424787337925,6.17406835573181,8.08425410630732,7.15305163493748,175,2009-08-01
"177",9,2009,"Sep",0.965842510703403,6.13569258855577,8.02910705461974,7.19436177320699,176,2009-09-01
"178",10,2009,"Oct",0.948176920736477,6.09599008927244,8.07309119969315,7.1276936993474,177,2009-10-01
"179",11,2009,"Nov",0.864154977453627,5.95449579638283,8.04974629095219,7.19353554414432,178,2009-11-01
"180",12,2009,"Dec",0.825490367547658,5.88573173993605,8.09742629859721,7.34323216115827,179,2009-12-01
"181",1,2010,"Jan",0.919485622770674,6.00446961344285,8.12266802334641,7.38255986516891,180,2010-01-01
"182",2,2010,"Feb",0.904622927006473,6.06475450620881,8.03560269291858,7.27385566356802,181,2010-02-01
"183",3,2010,"Mar",1.01450577937111,6.24762208966595,8.15507488781144,7.28564361932007,182,2010-03-01
"184",4,2010,"Apr",0.933737645477876,6.23546115421729,8.14060704285845,7.36302590862581,183,2010-04-01
"185",5,2010,"May",0.943127385827715,6.2425150516752,8.17329343896623,7.39964270172788,184,2010-05-01
"186",6,2010,"Jun",1.06574468504249,6.39691132171476,8.12976444579417,7.47494233241388,185,2010-06-01
"187",7,2010,"Jul",0.913085600925207,6.34947984237441,8.1318247850072,7.45443055564183,186,2010-07-01
"188",8,2010,"Aug",1.08687703244969,6.37500608029987,8.1318247850072,7.56827595671499,187,2010-08-01
"189",9,2010,"Sep",0.989912871744769,6.16978122004968,8.09985791073758,7.62251716951449,188,2010-09-01
"190",10,2010,"Oct",0.89527136465008,6.12929963428943,8.11552088154677,7.82204400818562,189,2010-10-01
"191",11,2010,"Nov",0.954356932680611,5.99833960961254,8.09132127353041,7.82388599805493,190,2010-11-01
"192",12,2010,"Dec",0.825490367547658,5.88782477234822,8.12177741916107,7.77115143510177,191,2010-12-01
"193",1,2011,"Jan",0.934523500135215,6.07527016614205,8.1285852003745,7.46393660446893,192,2011-01-01
"194",2,2011,"Feb",0.930193637043147,6.09186854952339,8.05864371221562,7.58984151218266,193,2011-02-01
"195",3,2011,"Mar",1.00063188030791,6.3065872820681,8.18590748148232,7.76734866717775,194,2011-03-01
"196",4,2011,"Apr",0.83116847845732,6.26838485645948,8.16593213732158,7.76565389514257,195,2011-04-01
"197",5,2011,"May",1.01920826588084,6.31904288572572,8.20930841164694,7.71485594961793,196,2011-05-01
"198",6,2011,"Jun",1.26919858924364,6.40450919115597,8.16365617616843,7.74776953535163,197,2011-06-01
"199",7,2011,"Jul",1.02604159583327,6.36409477582257,8.17046857833067,7.78916466899811,198,2011-07-01
"200",8,2011,"Aug",1.23226867348078,6.37104501994895,8.1610895128458,7.73263223021998,199,2011-08-01
"201",9,2011,"Sep",0.845009529869191,6.20429712254442,8.10530751550515,7.76234080541961,200,2011-09-01
"202",10,2011,"Oct",1.00430160919687,6.08146748657577,8.13973227971767,7.73052622733559,201,2011-10-01
"203",11,2011,"Nov",0.919485622770674,5.97118403064096,8.1146238864201,7.57983202892279,202,2011-11-01
"204",12,2011,"Dec",0.765932850285593,5.83886245925964,8.15937473677543,7.62827440633793,203,2011-12-01
"205",1,2012,"Jan",0.913486804541421,6.11259641361021,8.1934002319521,7.50439155916124,204,2012-01-01
"206",2,2012,"Feb",0.796605888928175,6.08035301542552,8.16223106548118,7.47907375117695,205,2012-02-01
"207",3,2012,"Mar",1.02532449289828,6.2407309073063,8.24380842366528,7.39203156751459,206,2012-03-01
"208",4,2012,"Apr",0.956280380090313,6.28139533929328,8.19753873972118,7.35538547925098,207,2012-04-01
"209",5,2012,"May",0.956280380090313,6.33877869013662,8.22790983759748,7.37838371299671,208,2012-05-01
"210",6,2012,"Jun",1.0353174382958,6.34927534571949,8.16706817834124,7.27205111005223,209,2012-06-01
"211",7,2012,"Jul",1.062294025994,6.31914827769612,8.15994665557855,7.33099481518947,210,2012-07-01
"212",8,2012,"Aug",1.11317243999944,6.25792042947873,8.10288913464087,7.42428460566481,211,2012-08-01
"213",9,2012,"Sep",1.07295254188753,6.13452430657138,8.06589354696427,7.5339075907178,212,2012-09-01
"214",10,2012,"Oct",0.971157633314995,6.13222598981622,8.10379671298179,7.62939272994171,213,2012-10-01
"215",11,2012,"Nov",0.853137916868886,5.90614900410599,8.090708716084,7.67989846576858,214,2012-11-01
"216",12,2012,"Dec",0.898126761246484,5.85837591359403,8.13681086367554,7.65302041380419,215,2012-12-01
"217",1,2013,"Jan",0.825052251439884,6.00875912992757,8.14960173573616,7.4812176165961,216,2013-01-01
"218",2,2013,"Feb",0.663203304186873,6.06559984031705,8.0805469658245,7.39166181339686,217,2013-02-01
"219",3,2013,"Mar",0.765467842139571,6.19950461284487,8.20958048347558,7.43649940325047,218,2013-03-01
"220",4,2013,"Apr",0.796154930634174,6.2077325156825,8.19478163844336,7.46416593596861,219,2013-04-01
"221",5,2013,"May",0.850578188508774,6.26500363995021,8.22147894726719,7.52574778594132,220,2013-05-01
"222",6,2013,"Jun",0.991027077988172,6.39457939551825,8.15737044118677,7.51283598067363,221,2013-06-01
"223",7,2013,"Jul",0.889125063801385,6.30292845166182,8.12355783506165,7.43384382941404,222,2013-07-01
"224",8,2013,"Aug",0.774266231844737,6.23339648606098,8.13153071060425,7.39467747866657,223,2013-08-01
"225",9,2013,"Sep",0.785270469435751,6.18756880953956,8.06996814905984,7.34723526567758,224,2013-09-01
"226",10,2013,"Oct",0.825928291793764,6.12045454946245,8.11312710422178,7.35025923452529,225,2013-10-01
"227",11,2013,"Nov",0.623261053095779,5.98911428741008,8.09407314806935,7.46948312067525,226,2013-11-01
"228",12,2013,"Dec",0.852285401898243,5.8543395624019,8.15277405274407,7.42338932374043,227,2013-12-01
